Tajne dzienniki lekarza Hitlera	Irving D.	Rachocki i S-ka	Prywatny dziennik doktora Morella, osobistego lekarza Hitlera. Ten właśnie lekarz, mimo kontrowersji związanych z jego osobą  był jedynym człowiekiem znającym najbardziej intymne problemy swego najważniejszego pacjenta.  Obraz Fuhrera jaki wyłania się z lektury dzienników stoi w dużej sprzeczności z jego oficjalnym wizerunkiem. 
Tajne Niemcy	Baigent M., Leigh R.	Książka i Wiedza	Claus hrabia von Staufenberg, pułkownik o urodzie hollywoodzkiego aktora, był jednym z niewielu przeciwników nazizmu, który zdecydował się urzeczywistnić marzenia o zlikwidowaniu źródła zła - Hitlera. Choć brawurowa misja się nie powiodła, warto poznać jego historię - historię arystokraty i romantyka, opętanego swoją ideą,  który podobno jako jedyny wytrzymywał spojrzenie Fuhrera.
Ukryci świadkowie	Wójcik R.	Cinderella Books	"Nieznani dotąd świadkowie, nowe relacje, unikatowe, nigdy nie publikowane zdjęcia - to podstawa do odkrycia zaskakujących faktów dotyczących czasów II wojny światowej. Jakie błędy popełnili twórcy ""Listy Schindlera"" odtwarzając scenerię obozu?  Jakie tajemnice kryją zdjęcia z ostatnich chwil Powstania Warszawskiego? Spójrzcie inaczej na pewne fragmenty historii i posłuchajcie ukrytych świadków a odkryjecie nowe, nieznane fakty."
Spisek przeciw Hitlerowi	Manvell R., Fraenkel H.	Książka i Wiedza	Dramatyczna, bogato udokumentowana opowieść odsłaniająca nie znane dotychczas kulisy opozycji i spisków wojskowych przeciw Hitlerowi oraz licznych prób zgładzenia go, poczynając od 1938 roku aż do uwieńczonego krwawymi represjami nieudanego zamachu von Stauffenberga 20 lipca 1944 roku.
Ojczyzna nie udziela urlopów	Wilczur J. E.	Cinderella Books	Alternatywne i kontrowersyjne podejście do historii ostatnich kilkudziesięciu lat. Pozorowane śledztwa, tuszowanie i ukrywanie faktów, usuwanie świadków, okrutne zbrodnie Niemców, Ukraińców, Rosjan i Polaków. Ta książka pomaga wyrobić sobie zdanie o prawdziwej historii od faszyzmu do dzisiaj.
Śmiertelna choroba Hitlera i inne tajemnice nazistowskich przywódców	Lattimer J. K.	Amber	Lekarz sprawujący opiekę medyczną nad przywódcami nazistowskimi podczas procesu  w Norymberdze uzyskał dostęp do nieznanych ekspertyz medycznych i przeprowadził niezwykłe rozmowy. Owocem tego jest sensacyjna książka, odsłaniające najbardziej intymne szczegóły życia Hitlera i jego współpracowników.
Od upadku Festung Breslau do stalinowskiego Wrocławia. Kalendarium 1945-1950	Tyszkiewicz J.	PWN	6 maja 1945 roku komendant Festung Breslau podpisał kapitulację miasta. Od którego momentu niemiecki Breslau stał się polskim Wrocławiem? Spójrzcie na stronice jedynego w swoim rodzaju pamiętnika miasta i poznajcie trudne chwile jego starych i nowych mieszkańców.
Sobowtór - tajemnice berlińskiego bunkra	Thomas H.	Sensacje XX wieku	"Czy samobójcza śmierć Hitlera i Ewy Braun w berlińskim bunkrze to sprawnie przygotowana mistyfikacja? A jeśli tak, to jak naprawdę wyglądały ostatnie godziny przywódcy III rzeszy i jego świeżo poślubionej żony? Co stało się z Martinem Bormannem, jego osobistym sekretarzem? \""Celem tej książki jest zdemaskowanie oszustwa\""."
Hitler-strategia klęski 1940-1945	Magenheimer H.	Sensacje XX wieku	"Czy Niemcy mogły wygrać drugą wojnę światową? Aby odpowiedzieć na to pytanie dokładnie opisano newralgiczne \""punkty zwrotne\"" działań wojennych oraz przeanalizowano podejmowane wówczas decyzje strategiczne niemieckich przywódców. "
Tajemniczy lot Rudolfa Hessa, mity i fakty	Nesbit R. C., Acker G.	Sensacje XX wieku	10 maja 1941 roku, o świcie Rudolf Hess, zastępca Fuhrera III Rzeszy wylądował na spadochronie na wrzosowiskach nie opodal  Glasgow. Kiedy został aresztowany, domagał się widzenia z królem, twierdząc że chce przeprowadzić rozmowy pokojowe w imieniu Hitlera. Jaki był prawdziwy cel tej wyprawy?
